t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
75,0.2,45.1863585758808,197.072004743233,45.1863585758808,44.9080594866744,13.7706515423999,0,0.17728669463973,195.91392020816,0.0364678932028672,1,1,0.255650023314433,0.254730093380719,0.227480223013576,0.228013136990456,0.204576021762825,0.203193596391553,18.9862296107515
76,0.2,42.8548900158196,197.776327691846,42.8548900158196,43.3096014004517,13.6777307134576,0,-0.0989617840363805,196.926085944731,-0.0524107119917707,1,1,0.253272593003095,0.255154878336045,0.228238263416329,0.227640629902655,0.20400429092652,0.202987993339359,19.0907615363407
77,0.2,41.9816154304536,199.995923772328,41.9816154304536,41.9921550830598,13.1114296285647,0,0.0382301026697964,198.758628584976,-0.049833684464874,1,1,0.253919701468866,0.255802007666298,0.228596849582054,0.228463981849968,0.203636578295419,0.203652356819856,18.9715095805052
78,0.2,43.0554691962103,199.826484462852,43.0554691962103,42.9357686371385,13.1420580683027,0,0.0608055377037938,199.46896369409,0.21328839780565,1,1,0.25348337462524,0.253123860704337,0.227666281292581,0.228341265052869,0.202890968399797,0.204786225396652,19.275070469776
79,0.2,45.7338548462883,198.842420686113,45.7338548462883,45.6924182969153,13.3732602358207,0,-0.149389223824443,198.251218407831,-0.186961707596529,1,1,0.254672526768305,0.252797068533046,0.227815438196142,0.228370504085618,0.204380124150595,0.204403871799625,19.2495399997618
80,0.2,41.5487480988179,198.486540040102,41.5487480988179,42.0564160767981,13.4227985425533,0,0.147758883786924,197.703569418321,-0.248637031032263,1,1,0.253001863570406,0.252741245092281,0.22784136644649,0.228270661175625,0.202950731967699,0.204869978963053,19.1968736048358
81,0.2,42.5656518962184,201.176366333926,42.5656518962184,42.1110488718412,13.1118177429771,0,0.0181950570761943,199.897985519422,0.216379618783341,1,1,0.250764955460243,0.252310790313226,0.22822007160899,0.227322007242922,0.202833660503337,0.20427291112375,19.2408994684033
82,0.2,44.5366830506841,199.498073140592,44.5366830506841,44.4405532478461,13.3846906361489,0,0.258762632073846,198.263815776456,0.279606975302229,1,1,0.251529239696435,0.252586851056774,0.228188842184548,0.227513216718909,0.203272794114758,0.204594872171014,19.1137484916136
83,0.2,43.0837967257682,198.709454330221,43.0837967257682,43.3089203469972,13.4984350250274,0,-0.239588775347785,198.246484970886,-0.0520419274971812,1,1,0.254893502267658,0.252977861468558,0.228020216441495,0.227861198305048,0.205031446105145,0.203556304602914,18.9416776851295
84,0.2,35.4364093380852,203.06779029747,35.4364093380852,36.128201778699,12.8012740851339,0,0.232971335901417,201.497370073491,0.147602664725575,1,1,0.254122683666562,0.251097823809047,0.227982782543618,0.227734691504924,0.204248356475993,0.203673745011756,19.1074388428648
